id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
172,190409,Waundell,Bronx,Highbridge,40.83232,-73.93184,Private room,40,1,219,04/07/2019,2.04,3,353
173,193360,Young,Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,150,2,193,06/07/2016,1.78,1,177
174,72062,Bruce,Manhattan,East Village,40.72518,-73.98034,Private room,125,1,84,23/06/2019,0.78,4,310
175,193722,Coral,Manhattan,Financial District,40.70666,-74.01374,Entire home/apt,196,3,114,20/06/2019,1.06,1,0
176,181376,Carol,Brooklyn,Fort Greene,40.69098,-73.97113,Private room,110,2,213,24/06/2019,2,2,321
177,193637,Sara,Manhattan,West Village,40.73756,-74.00405,Entire home/apt,170,3,86,01/06/2019,0.8,1,246
178,126607,Laurine,Manhattan,Harlem,40.81526,-73.94791,Entire home/apt,165,3,80,26/05/2019,0.75,3,231
179,201297,Myrna,Manhattan,West Village,40.73423,-74.0046,Entire home/apt,150,26,38,20/04/2016,0.36,1,225
180,202249,Campbell,Manhattan,Harlem,40.82374,-73.9373,Entire home/apt,100,2,18,17/12/2018,1.79,1,0
181,67778,Doug,Brooklyn,Fort Greene,40.68863,-73.97691,Private room,65,2,206,30/06/2019,1.92,2,0
182,204539,Mark,Queens,Ridgewood,40.70382,-73.89797,Entire home/apt,350,8,10,12/05/2019,0.11,5,365
183,867225,Rahul,Manhattan,Morningside Heights,40.80549,-73.95924,Private room,99,4,122,14/05/2019,1.18,2,233
184,204724,Miyoung,Brooklyn,Williamsburg,40.71627,-73.9587,Entire home/apt,200,4,33,08/04/2019,0.58,1,1
185,8198,Monica,Brooklyn,Park Slope,40.67994,-73.97863,Entire home/apt,150,5,52,05/06/2019,0.5,1,18
186,209460,Marylyn,Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475,Private room,90,3,126,19/05/2019,1.17,4,343
187,210746,Kathleen R.,Brooklyn,Prospect Heights,40.67868,-73.97307,Private room,120,3,51,24/06/2019,0.48,3,250
188,212722,Teresa,Manhattan,Upper East Side,40.76834,-73.95334,Private room,75,3,199,24/06/2019,1.85,1,326
189,214148,Robert,Brooklyn,Bedford-Stuyvesant,40.68237,-73.9415,Entire home/apt,175,26,30,03/09/2012,0.29,1,364
190,214287,Alex,Manhattan,Chelsea,40.74031,-73.99999,Entire home/apt,125,3,3,17/07/2015,0.03,1,0
191,218404,Claudia,Manhattan,Hell's Kitchen,40.76307,-73.99665,Entire home/apt,275,1,41,26/06/2019,0.38,1,299
192,221873,Shane,Manhattan,Lower East Side,40.71882,-73.98852,Entire home/apt,299,2,109,15/06/2019,1.04,1,207
193,9744,Laurie,Brooklyn,South Slope,40.6693,-73.98804,Entire home/apt,135,5,151,22/06/2019,1.43,3,162
194,236421,Jessica,Manhattan,Upper East Side,40.77333,-73.95199,Private room,130,14,0,,,2,0
195,236655,Erina,Manhattan,Lower East Side,40.72319,-73.99201,Private room,83,1,285,22/06/2019,2.69,1,7
196,237329,Lee,Manhattan,Chelsea,40.74859,-73.99671,Private room,123,1,375,18/06/2019,3.52,1,328
197,27848,Jullett,Queens,Jamaica,40.67252,-73.76597,Private room,55,2,52,20/05/2019,0.49,2,365
198,240360,Marlaine,Manhattan,Hell's Kitchen,40.76244,-73.99271,Entire home/apt,195,5,10,01/07/2019,1.01,1,0
199,247432,Charlotte,Brooklyn,Bedford-Stuyvesant,40.69546,-73.93503,Private room,80,2,11,13/11/2017,0.48,1,0
200,204539,Mark,Queens,Middle Village,40.71722,-73.87856,Entire home/apt,98,30,33,09/05/2015,0.31,5,240
201,204539,Mark,Queens,Ridgewood,40.70234,-73.89816,Private room,140,7,6,08/10/2015,0.06,5,365
202,204539,Mark,Queens,Middle Village,40.71546,-73.87854,Entire home/apt,265,7,38,27/04/2019,0.38,5,365
203,10889,Bob,Brooklyn,Williamsburg,40.7195,-73.95976,Entire home/apt,249,2,358,20/06/2019,3.44,2,164
204,255583,Anka,Manhattan,Hell's Kitchen,40.76548,-73.98474,Shared room,105,6,10,07/01/2014,0.09,1,363
205,253385,Douglas,Manhattan,Harlem,40.80234,-73.95603,Private room,200,30,0,,,1,365
206,210746,Kathleen R.,Brooklyn,Prospect Heights,40.6787,-73.97262,Private room,100,2,226,06/06/2019,2.12,3,250
207,256161,Wayne,Manhattan,Harlem,40.81035,-73.94598,Entire home/apt,121,1,104,22/06/2019,1,5,247
208,190409,Waundell,Bronx,Highbridge,40.83075,-73.93058,Private room,45,1,138,30/06/2019,1.45,3,323
209,258164,Jenny,Manhattan,East Harlem,40.79958,-73.94275,Private room,100,5,204,23/06/2019,1.92,1,192
210,260709,Paul,Brooklyn,Williamsburg,40.71625,-73.93845,Entire home/apt,140,2,253,02/07/2019,3.04,1,125
211,262138,Tami,Brooklyn,Bedford-Stuyvesant,40.6829,-73.93549,Private room,71,2,23,01/07/2019,0.22,1,91
212,88209,Jason,Manhattan,NoHo,40.72773,-73.99134,Private room,130,2,115,05/12/2018,1.17,1,75
213,263414,Pete,Manhattan,West Village,40.72861,-74.0049,Entire home/apt,199,5,129,19/05/2019,1.22,1,286
214,168525,Gus,Brooklyn,Williamsburg,40.70979,-73.95162,Private room,69,4,82,10/06/2019,1.13,2,60
215,264928,Sally,Brooklyn,Fort Greene,40.68656,-73.97525,Private room,68,3,37,31/12/2018,0.35,1,0
216,267593,Leonardo,Manhattan,East Village,40.72752,-73.98432,Entire home/apt,130,1,204,01/07/2019,2.04,1,192
217,268014,Alex,Brooklyn,Greenpoint,40.729,-73.95829,Entire home/apt,195,2,69,13/06/2019,0.65,1,58
218,256161,Wayne,Manhattan,Harlem,40.81219,-73.94499,Private room,64,1,192,03/06/2019,1.84,5,245
219,272006,Vasili,Queens,Ditmars Steinway,40.77185,-73.90502,Entire home/apt,140,2,17,17/06/2019,0.16,1,292
220,199392,S.M.,Brooklyn,Cobble Hill,40.68926,-73.99386,Entire home/apt,159,2,222,24/06/2019,2.12,1,279
221,239208,Ori,Manhattan,East Village,40.72821,-73.98701,Entire home/apt,189,3,205,23/06/2019,1.96,1,0
222,274557,Ana,Manhattan,Hell's Kitchen,40.7672,-73.98508,Entire home/apt,250,3,94,09/06/2019,0.96,1,3
223,275459,I,Manhattan,East Village,40.73012,-73.99053,Entire home/apt,239,3,7,24/05/2019,0.07,1,351
